Name,URL,Price,Revenue,Income,Type,Status,Description,Location,Region
Texas Based Non-Emergency Medical Transport,https://businessexits.com/listing/non_emergency_medical_transport/,15000000.0,7743083.0,2874318.0,Service,Sale Pending,,,southwest
Thriving Texas HVAC Company Specializing in Residential New Construction,https://businessexits.com/listing/texas_hvac_rnc/,10000000.0,21986180.0,2284289.0,Service,Sale Pending,,,southwest
Arizona Addiction Treatment Center,https://businessexits.com/listing/az_addiction_treatment/,8000000.0,500839520232024.0,173152020232024.0,Service,Sale Pending,,,southwest
Texas Family Entertainment Venues,https://businessexits.com/listing/tx_family_entertainment/,3500000.0,50000002025.0,16000002025.0,"Restaurant/Food, Service",,,,southwest
Roofing and Exterior Services Company,https://businessexits.com/listing/roofing_services_co/,1100000.0,196487420222024.0,41327120222024.0,"Construction, Service",Sale Pending,,,southwest
Security Guard Service Company,https://businessexits.com/listing/security_guard_company/,750000.0,3187599.0,252225.0,Service,Sale Pending,,,southwest
